,triangle:nl,triangle:fol,triangle:py,triangle:set,triangle:bnf,prime:nl,prime:fol,prime:py,prime:set,prime:comp
triangle:nl,0.13076923076923078,0.9,0.8923076923076924,0.8307692307692308,0.8153846153846154,0.8923076923076924,0.8923076923076924,0.9076923076923077,1.0,0.9384615384615385
triangle:fol,0.9076923076923077,0.16176470588235295,0.8677685950413223,0.7647058823529411,0.803921568627451,0.8658536585365854,0.7341772151898734,0.8387096774193549,0.9852941176470589,0.8513513513513513
triangle:py,0.8923076923076924,0.8760330578512396,0.1322314049586777,0.8677685950413223,0.8099173553719008,0.9008264462809917,0.8677685950413223,0.7520661157024794,0.9834710743801653,0.8760330578512396
triangle:set,0.8461538461538461,0.7647058823529411,0.8677685950413223,0.10784313725490197,0.7843137254901961,0.8921568627450981,0.8529411764705882,0.8627450980392157,0.8823529411764706,0.8823529411764706
triangle:bnf,0.8,0.7941176470588235,0.8347107438016529,0.7745098039215687,0.1568627450980392,0.8431372549019608,0.803921568627451,0.8235294117647058,0.9705882352941176,0.8725490196078431
prime:nl,0.8846153846153846,0.8658536585365854,0.9008264462809917,0.8627450980392157,0.8431372549019608,0.23170731707317074,0.8170731707317073,0.8494623655913979,1.0,0.8536585365853658
prime:fol,0.8923076923076924,0.759493670886076,0.8677685950413223,0.8529411764705882,0.8235294117647058,0.8170731707317073,0.189873417721519,0.7634408602150538,0.9113924050632911,0.7848101265822784
prime:py,0.9,0.8279569892473119,0.743801652892562,0.8431372549019608,0.8235294117647058,0.8602150537634409,0.7741935483870968,0.10752688172043011,0.978494623655914,0.8064516129032258
prime:set,1.023076923076923,0.9705882352941176,0.9834710743801653,0.8823529411764706,0.9705882352941176,1.0,0.9367088607594937,0.978494623655914,0.18867924528301888,0.9594594594594594
prime:comp,0.9384615384615385,0.8108108108108109,0.8677685950413223,0.8725490196078431,0.8529411764705882,0.8658536585365854,0.810126582278481,0.8064516129032258,0.9594594594594594,0.13513513513513514
